id,Time_Entered_Page,Time_Left_Page,bill_first_name,billing_last_name,billing_address_1,billing_address_2,billing_city,billing_state,billing_zip,billing_email,billing_confirm_email,billing_phone,ship_different_address,shipping_first_name,shipping_last_name,shipping_address_1,shipping_address_2,shipping_city,shipping_state,shipping_zip,account_username,account_password,add_delivery_note,product_size,product_quality,cart_subtotal,applied_coupon,sales_tax,order_total,add_coupon_click,coupon_code
1,"Fri Jan 30 2015 13:52:23 ","Fri Jan 30 2015 13:54:13 ",Beverly,Hills,"7952 Beverly Dr","7952 Beverly Dr","Beverly Hills",NH,90210,bhills_7952@veryrealemail.com,bhills_7952@veryrealemail.com,3105557952,1,Beverly,Hills,"7952 Beverly Dr","7952 Beverly Dr","Beverly Hills",NH,90210,,,"Jjqbgk lorem ipsum dolor sit amet, consectetur adi","10x24x1, ",Better,$14.28,,$1.18,$15.46,,90210
2,"Fri Jan 30 2015 13:54:17 ","Fri Jan 30 2015 13:58:17 ",,,,,,,,mmac@vertex.com,,,1,,,,,,,,,,,"10x24x1, ",Better,$14.28,,$1.18,$15.46,,
3,"Fri Jan 30 2015 13:58:19 ","Fri Jan 30 2015 13:58:21 ",,,,,,,,mmac@vertex.com,,,1,,,,,,,,,,,"10x24x1, ",Better,$14.28,,$1.18,$15.46,,
4,"Fri Jan 30 2015 13:58:23 ","Fri Jan 30 2015 14:00:24 ",,,,,,,,mmac@vertex.com,,,1,,,,,,,,,,,"10x24x1, ",Better,$14.28,,$1.18,$15.46,,
5,"Fri Jan 30 2015 14:00:27 ","Fri Jan 30 2015 14:00:28 ",,,,,,,,mmac@vertex.com,,,1,,,,,,,,,,,"10x24x1, ",Better,$14.28,,$1.18,$15.46,,
6,"Fri Jan 30 2015 14:07:35 ","Fri Jan 30 2015 14:07:36 ",,,,,,,,,,,1,,,,,,,,,,,"10x20x1, 10x30x1, ",Better,$24.65,,$2.03,$26.68,,
7,"Fri Jan 30 2015 14:00:30 ","Fri Jan 30 2015 14:03:17 ",,,,,,,,mmac@vertex.com,,,1,,,,,,,,,,,"10x24x1, ",Better,$14.28,,$1.18,$15.46,,
8,"Fri Jan 30 2015 14:07:43 ","Fri Jan 30 2015 14:08:04 ",candic4e,testcr,,,,,,,,,1,,,,,,,,,,,"10x20x1, 10x30x1, ",Better,$24.65,,$2.03,$26.68,yes,dd
9,"Fri Jan 30 2015 14:10:57 ","Fri Jan 30 2015 14:10:59 ","test2 cr",customtest,"exit browser test",,,,,,,,1,,,,,,,,,,,"10x20x1, 14x25x1, 10x4x10, ",Best,$47.97,,$3.96,$51.93,,
10,"Fri Jan 30 2015 14:13:39 ","Fri Jan 30 2015 14:13:46 ",Candice,"click back test","testing more fields",,houston,TX,,candice@defensived.com,candice@defensived.com,,1,,,,,,,,"account username test","account password test","order test","16x16x1, 16x24x1, 16x25x4, ",Better,$46.02,,$3.80,$49.82,,
